value,bdrms,subboroughname,race,year,income_tile,non_bdrms,agperswt
13900,1,Chelsea/Clinton/Midtown,White,2002,1,0,18690456
200000,1,Upper East Side,White,2002,3,0,43095920
300000,2,Upper East Side,Others,2002,2,1,19683906
350000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1,18120005
225000,2,Greenwich Village/Financial District,White,2002,4,0,47105363
10000,2,Morningside Heights/Hamilton Heights,Black,2002,3,1,40646272
1957402,4,Greenwich Village/Financial District,White,2002,5,2,97207929
200000,1,Stuyvesant Town/Turtle Bay,White,2002,3,0,18120005
325000,2,Upper East Side,Others,2002,5,1,18805791
300000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1,18120005
1957402,5,Greenwich Village/Financial District,White,2002,5,1,33517613
350000,1,Stuyvesant Town/Turtle Bay,White,2002,5,0,18120005
1957402,3,Upper East Side,White,2002,5,4,33349349
17500,2,Washington Heights/Inwood,White,2002,1,2,18011276
350000,3,Upper East Side,White,2002,5,1,33349349
1957402,5,Stuyvesant Town/Turtle Bay,White,2002,5,2,69008860
250000,2,Chelsea/Clinton/Midtown,Others,2002,3,1,18690456
400000,2,Upper West Side,White,2002,4,1,21923910
1957402,3,Upper West Side,White,2002,4,3,107795603
1957402,3,Upper West Side,White,2002,2,3,38002220
1957402,3,Greenwich Village/Financial District,White,2002,5,1,88036004
1957402,2,Upper East Side,White,2002,5,3,16674675
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,3,35587646
300000,3,Upper East Side,White,2002,5,1,38598587
600000,4,Upper West Side,White,2002,5,2,21923910
200000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1,18120005
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,1,35587646
150000,2,Chelsea/Clinton/Midtown,White,2002,1,1,22672790
500000,3,Stuyvesant Town/Turtle Bay,White,2002,2,1,18120005
1957402,2,Stuyvesant Town/Turtle Bay,White,2002,3,0,19671842
250000,2,Upper East Side,White,2002,3,1,19299293
1957402,4,Chelsea/Clinton/Midtown,White,2002,3,1,95385201
1957402,3,Upper East Side,White,2002,5,3,33349349
600,4,Central Harlem,Black,2002,2,1,140721044
700000,2,Upper East Side,White,2002,3,0,38598587
670000,2,Upper West Side,White,2002,3,0,18506721
300000,3,Upper East Side,White,2002,4,1,72446899
20000,3,East Harlem,Black,2002,4,1,40311293
600000,4,Upper West Side,White,2002,3,2,68888244
100000,2,Central Harlem,Black,2002,2,2,20396170
1957402,3,Chelsea/Clinton/Midtown,White,2002,5,0,40304894
350000,2,Chelsea/Clinton/Midtown,White,2002,4,1,17911474
1957402,4,Upper East Side,White,2002,5,1,76859970
200000,3,Stuyvesant Town/Turtle Bay,White,2002,5,1,63645271
300000,2,Upper West Side,White,2002,2,1,18506721
150000,2,Washington Heights/Inwood,White,2002,2,1,20396170
450000,2,Upper West Side,White,2002,5,1,21923910
875000,3,Central Harlem,Black,2002,1,2,16690563
750000,3,Upper West Side,White,2002,3,2,19001110
450000,2,Upper West Side,White,2002,4,1,38002220
160000,1,Greenwich Village/Financial District,White,2002,3,0,23552681
1957402,2,Chelsea/Clinton/Midtown,White,2002,1,1,20152447
500000,3,Chelsea/Clinton/Midtown,White,2002,3,1,40304894
250000,1,Stuyvesant Town/Turtle Bay,White,2002,4,0,18120005
1957402,3,Chelsea/Clinton/Midtown,Others,2002,3,3,40304894
350000,3,Greenwich Village/Financial District,White,2002,4,1,49324439
200000,4,Chelsea/Clinton/Midtown,White,2002,5,1,115280134
135000,3,Central Harlem,Black,2002,2,1,106969331
260000,1,Upper West Side,White,2002,4,0,38002220
6650,4,East Harlem,Black,2002,2,1,77320914
1957402,2,Stuyvesant Town/Turtle Bay,White,2002,2,1,18120005
20000,3,Lower East Side/Chinatown,Hispanic,2002,4,1,61164061
370000,3,Upper East Side,White,2002,5,1,87097762
1957402,3,Upper East Side,White,2002,5,4,19299293
1957402,2,Upper East Side,White,2002,2,1,19299293
350000,2,Greenwich Village/Financial District,White,2002,5,1,49324439
200000,2,Upper West Side,White,2002,5,0,21923910
320000,2,Greenwich Village/Financial District,Others,2002,3,1,55605426
30000,2,Stuyvesant Town/Turtle Bay,White,2002,2,1,18120005
1957402,3,Greenwich Village/Financial District,White,2002,3,1,18612303
250000,1,Greenwich Village/Financial District,White,2002,4,0,24662220
500000,2,Chelsea/Clinton/Midtown,White,2002,5,1,18690456
250000,2,Chelsea/Clinton/Midtown,Others,2002,5,0,18690456
210000,2,Chelsea/Clinton/Midtown,Others,2002,1,0,33517613
650000,4,Upper East Side,White,2002,4,2,118547081
325000,2,Greenwich Village/Financial District,White,2002,4,1,16250069
500000,2,Upper West Side,White,2002,2,1,43847820
350000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1,35587646
1957402,2,Upper East Side,White,2002,1,2,52394351
11000,3,Greenwich Village/Financial District,White,2002,4,1,51150480
160000,2,Greenwich Village/Financial District,White,2002,3,1,23552681
250000,2,Greenwich Village/Financial District,White,2002,2,1,20916064
375000,4,Upper East Side,White,2002,5,2,118517418
400000,3,Stuyvesant Town/Turtle Bay,White,2002,3,1,18120005
350000,2,Chelsea/Clinton/Midtown,White,2002,4,0,18690456
500000,2,Stuyvesant Town/Turtle Bay,White,2002,4,3,35587646
250000,2,East Harlem,White,2002,4,1,14870327
6650,5,East Harlem,Black,2002,2,1,65545497
1957402,3,Upper East Side,White,2002,5,1,33349349
200000,2,Chelsea/Clinton/Midtown,White,2002,4,1,18690456
500000,2,Upper East Side,White,2002,5,1,19299293
33900,1,Greenwich Village/Financial District,White,2002,3,0,16050110
650000,3,Upper East Side,White,2002,5,3,52394351
850000,3,Greenwich Village/Financial District,White,2002,5,3,32500138
1957402,4,Greenwich Village/Financial District,White,2002,5,2,47105363
375000,3,Upper East Side,White,2002,3,1,19299293
1957402,3,Upper West Side,White,2002,5,3,93930653
500000,2,Chelsea/Clinton/Midtown,White,2002,3,1,40304894
6650,3,East Harlem,Black,2002,2,2,69853038
85000,2,Washington Heights/Inwood,Others,2002,4,0,56594156
3500,3,Lower East Side/Chinatown,White,2002,1,1,19700469
935000,3,Chelsea/Clinton/Midtown,White,2002,5,1,16758807
1957402,4,Upper East Side,White,2002,3,4,33349349
1957402,5,Upper East Side,White,2002,5,2,87097762
220000,1,Lower East Side/Chinatown,White,2002,3,0,19700469
4000,3,East Harlem,Black,2002,1,2,18014184
500000,2,Upper East Side,White,2002,1,1,19299293
1957402,4,Upper West Side,White,2002,5,3,67731339
1957402,3,Upper East Side,White,2002,4,1,33349349
190000,1,Greenwich Village/Financial District,White,2002,2,0,23552681
425000,2,Upper West Side,White,2002,4,1,21923910
700000,3,Upper West Side,White,2002,4,2,21923910
375000,2,Greenwich Village/Financial District,White,2002,5,1,49324439
500000,2,Upper East Side,White,2002,3,1,19299293
100000,2,Upper West Side,White,2002,4,1,21923910
200000,2,Lower East Side/Chinatown,White,2002,4,1,42470836
300000,3,Morningside Heights/Hamilton Heights,White,2002,3,1,18011276
400000,2,Upper East Side,Others,2002,4,1,33349349
300000,4,Stuyvesant Town/Turtle Bay,White,2002,5,4,35587646
800000,3,Upper West Side,Others,2002,3,3,71596834
750,3,Stuyvesant Town/Turtle Bay,Others,2002,5,2,18120005
275000,2,Upper East Side,White,2002,3,0,19683906
500000,3,Stuyvesant Town/Turtle Bay,White,2002,5,1,17793823
275000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1,22931269
900000,3,Upper East Side,White,2002,1,2,16674675
4000,3,East Harlem,Hispanic,2002,2,1,17064138
6650,2,East Harlem,Black,2002,2,1,14870327
100000,2,Washington Heights/Inwood,White,2002,1,0,36022552
540000,2,Upper East Side,White,2002,3,1,16674675
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,2,35587646
1957402,2,Greenwich Village/Financial District,White,2002,4,1,47105363
1957402,2,Upper West Side,White,2002,3,3,21923910
120000,4,Morningside Heights/Hamilton Heights,Others,2002,5,1,98293641
85000,3,Central Harlem,Black,2002,1,2,14870327
1957402,5,Upper East Side,White,2002,5,3,33349349
30000,3,Lower East Side/Chinatown,White,2002,3,1,53579323
750000,2,Upper East Side,White,2002,3,1,19299293
300000,3,Lower East Side/Chinatown,White,2002,2,1,99632669
500000,3,Stuyvesant Town/Turtle Bay,White,2002,5,1,49367071
150000,4,Chelsea/Clinton/Midtown,White,2002,3,2,18690456
1957402,3,Upper West Side,White,2002,5,3,38002220
450000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1,35587646
2000,2,East Harlem,Hispanic,2002,1,1,21939159
140000,3,Washington Heights/Inwood,Hispanic,2002,1,0,22472588
350000,2,Upper East Side,White,2002,5,1,36538791
100000,2,Stuyvesant Town/Turtle Bay,White,2002,3,0,18120005
1957402,4,Upper East Side,White,2002,5,4,22472588
500000,2,Upper East Side,White,2002,3,1,19299293
325000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1,18120005
115000,1,Upper East Side,White,2002,3,0,19683906
920000,2,Upper East Side,Others,2002,1,2,19299293
800000,3,Upper East Side,White,2002,5,2,33349349
1957402,3,Upper East Side,White,2002,1,3,19299293
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,0,49367071
200000,2,Central Harlem,Black,2002,2,0,14870327
165000,1,Central Harlem,Hispanic,2002,1,0,16758807
150000,1,Chelsea/Clinton/Midtown,White,2002,1,0,18690456
250000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1,17793823
1957402,5,Upper West Side,White,2002,5,3,92693638
100000,3,Upper West Side,White,2002,3,1,38002220
18000,4,Washington Heights/Inwood,Black,2002,2,1,18011276
20000,2,Lower East Side/Chinatown,Hispanic,2002,3,1,20187179
85000,1,Upper East Side,Hispanic,2002,2,0,19299293
250000,2,Chelsea/Clinton/Midtown,White,2002,4,1,79529265
13900,4,Morningside Heights/Hamilton Heights,White,2002,2,1,106295113
300000,3,Lower East Side/Chinatown,White,2002,3,1,42470836
300000,2,Upper East Side,White,2002,3,2,19299293
800000,2,Upper West Side,White,2002,5,1,21923910
200000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1,88229905
8000,1,Lower East Side/Chinatown,Hispanic,2002,2,1,37028167
425000,2,Stuyvesant Town/Turtle Bay,White,2002,5,2,20396170
1957402,2,Upper East Side,White,2002,2,0,33349349
500000,3,Upper East Side,White,2002,5,2,58079700
50000,3,Lower East Side/Chinatown,Hispanic,2002,5,1,39400939
85000,3,Morningside Heights/Hamilton Heights,Black,2002,5,2,34617463
160000,1,Upper West Side,Others,2002,3,0,21923910
800000,3,Upper West Side,White,2002,5,1,40033812
1957402,3,Upper East Side,White,2002,4,2,33349349
275000,2,Greenwich Village/Financial District,White,2002,5,0,47105363
10000,2,Upper East Side,White,2002,5,1,39367812
1957402,3,Greenwich Village/Financial District,White,2002,4,4,49324439
210000,2,Chelsea/Clinton/Midtown,White,2002,4,1,20916064
1957402,3,Upper West Side,White,2002,5,3,98932767
320000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1,18120005
200000,1,Upper East Side,White,2002,4,0,19299293
135000,4,Central Harlem,Black,2002,2,2,74291596
500000,3,Upper West Side,White,2002,5,2,38002220
400000,2,Stuyvesant Town/Turtle Bay,White,2002,4,0,18120005
700000,3,Upper West Side,White,2002,5,1,27752968
275000,2,Upper West Side,White,2002,4,1,38002220
300000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1,18120005
175000,2,Chelsea/Clinton/Midtown,White,2002,5,1,40304894
300000,2,Upper West Side,White,2002,4,0,21923910
1957402,3,Upper East Side,White,2002,4,4,16674675
170000,2,Greenwich Village/Financial District,White,2002,3,1,23552681
300000,1,Upper West Side,White,2002,5,0,20396170
500000,3,Upper East Side,White,2002,5,1,69069026
1957402,4,Upper West Side,White,2002,5,1,95428866
500000,2,Upper West Side,White,2002,4,1,21923910
1957402,3,Stuyvesant Town/Turtle Bay,Black,2002,2,3,35587646
243000,2,Upper East Side,White,2002,4,1,37611581
150000,3,Central Harlem,Black,2002,4,1,29740653
1957402,2,Upper East Side,White,2002,5,5,33349349
240000,3,Morningside Heights/Hamilton Heights,White,2002,4,1,81870123
700000,3,Upper West Side,White,2002,5,1,66982232
300000,2,Upper East Side,White,2002,5,1,20916064
350000,2,Stuyvesant Town/Turtle Bay,White,2002,5,0,35587646
200000,1,Greenwich Village/Financial District,White,2002,1,0,23552681
215000,2,East Harlem,White,2002,1,1,14870327
670000,2,Upper West Side,White,2002,5,1,38002220
750000,3,Upper West Side,White,2002,5,1,38002220
250000,1,Upper East Side,White,2002,4,0,16674675
1957402,4,Upper West Side,White,2002,5,2,21923910
1957402,4,Upper East Side,White,2002,5,3,53049211
600000,3,Upper East Side,White,2002,3,0,19299293
700000,3,Upper East Side,White,2002,5,1,85730346
650000,3,Upper West Side,White,2002,5,1,38002220
1957402,4,Upper East Side,White,2002,5,2,87097762
250000,3,Washington Heights/Inwood,Black,2002,4,1,42128070
94000,3,Morningside Heights/Hamilton Heights,Others,2002,3,1,79524317
300000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1,18120005
1957402,3,Greenwich Village/Financial District,White,2002,5,2,76718073
380000,2,Upper East Side,White,2002,4,1,19299293
35000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1,35587646
600000,2,Upper East Side,White,2002,4,1,19299293
1957402,4,Greenwich Village/Financial District,White,2002,5,4,24662220
200000,2,East Harlem,White,2002,4,1,56475969
200000,1,Stuyvesant Town/Turtle Bay,White,2002,2,0,18120005
15000,3,Washington Heights/Inwood,White,2002,3,1,20256133
85000,4,Central Harlem,Hispanic,2002,2,1,86784846
525000,3,Upper West Side,White,2002,5,1,38002220
200000,2,Upper West Side,White,2002,4,1,20144178
500000,2,Upper East Side,White,2002,4,2,19299293
20000,1,Central Harlem,Hispanic,2002,1,0,19506173
12500,2,East Harlem,Black,2002,2,1,3515800
1957402,5,Upper East Side,White,2002,5,3,137390585
100000,2,Lower East Side/Chinatown,White,2002,1,1,17062623
1957402,4,Stuyvesant Town/Turtle Bay,White,2002,5,4,35587646
270000,3,Morningside Heights/Hamilton Heights,White,2002,4,1,70486223
280000,2,Greenwich Village/Financial District,White,2002,2,0,16050110
375000,2,Stuyvesant Town/Turtle Bay,Hispanic,2002,2,1,69008860
25000,3,Chelsea/Clinton/Midtown,Hispanic,2002,3,1,38364619
150000,2,Washington Heights/Inwood,Hispanic,2002,1,1,18011276
100000,3,East Harlem,Black,2002,2,1,16690563
780000,3,Upper East Side,White,2002,4,2,33349349
750000,3,Upper East Side,White,2002,5,0,18805791
1957402,2,Greenwich Village/Financial District,White,2002,4,3,32100220
650000,3,Upper West Side,White,2002,5,2,43847820
225000,2,Greenwich Village/Financial District,White,2002,5,1,49324439
400000,2,Upper East Side,White,2002,2,1,19299293
1957402,3,Upper East Side,White,2002,5,4,111693540
500000,4,Upper West Side,White,2002,4,2,115817501
50000,1,Chelsea/Clinton/Midtown,White,2002,3,0,18690456
3000,2,Chelsea/Clinton/Midtown,White,2002,1,1,18690456
350000,2,Upper West Side,Hispanic,2002,4,0,37013443
1957402,5,Upper West Side,White,2002,5,3,64294184
380000,3,Stuyvesant Town/Turtle Bay,White,2002,3,1,17793823
1957402,3,Greenwich Village/Financial District,White,2002,5,2,107242066
30000,4,Washington Heights/Inwood,Hispanic,2002,3,1,103655374
280000,2,Chelsea/Clinton/Midtown,White,2002,5,1,18690456
190000,2,Chelsea/Clinton/Midtown,Hispanic,2002,3,1,18690456
150000,1,Upper East Side,Others,2002,4,0,19299293
750000,3,Greenwich Village/Financial District,White,2002,4,2,23552681
99000,1,Upper East Side,White,2002,2,0,33349349
