value,bdrms,non_bdrms,subboroughcode,race,income_tile,year,agperswt
440000,3,1,5,1,3,2011,37050020
745000,3,1,1,4,3,2011,18722512
5162488,4,3,5,1,3,2011,37050020
500000,2,1,5,1,1,2011,37050020
445000,2,0,6,1,3,2011,34605060
1400000,3,2,5,1,1,2011,20025740
950000,3,2,3,4,3,2011,38538772
500000,2,1,3,1,1,2011,22620252
600000,2,1,2,4,1,2011,44021264
1200000,4,1,8,1,3,2011,36924292
600000,3,1,10,1,3,2011,30202188
735000,2,1,4,3,1,2011,34871672
5162488,4,2,6,1,1,2011,15189042
450000,2,1,6,1,1,2011,65286052
525000,3,2,9,1,3,2011,97144792
9999999,2,1,3,1,1,2011,36615144
330000,1,0,4,4,1,2011,21861640
600000,3,1,6,1,1,2011,32406152
5162488,5,3,6,1,1,2011,96626840
500000,3,1,2,2,3,2011,53528944
850000,2,1,1,1,1,2011,20209968
550000,1,0,5,4,1,2011,14632568
5162488,5,2,2,1,3,2011,126537376
2500000,4,3,6,1,1,2011,93567168
650000,2,1,6,1,1,2011,34605060
250000,3,1,10,3,1,2011,85485944
5162488,5,3,6,1,3,2011,34605060
438000,2,0,5,1,1,2011,37050020
2000000,3,2,1,1,1,2011,49055020
650000,1,0,4,4,3,2011,17435836
5162488,3,1,6,1,3,2011,37445024
395000,3,0,2,4,3,2011,55376532
900000,4,1,10,1,3,2011,26173832
1200,4,1,7,3,3,2011,45400072
1000000,2,2,4,1,1,2011,21861640
600000,4,1,5,1,3,2011,20025740
1100000,2,1,1,1,1,2011,76300768
1000000,3,1,6,2,3,2011,34605060
500000,4,1,2,3,3,2011,82943776
300000,2,1,7,4,3,2011,25204430
12000,2,1,2,1,3,2011,26173832
12000,3,2,3,2,3,2011,70617576
900000,3,2,5,4,1,2011,20025740
300000,2,1,6,1,1,2011,34605060
800000,3,1,6,1,3,2011,15189042
550000,2,0,5,1,1,2011,73280944
1300000,3,0,2,3,3,2011,22010632
250000,4,1,8,2,3,2011,67146464
1500000,4,3,5,1,3,2011,37050020
320000,1,0,1,1,1,2011,49055020
400000,1,0,5,1,3,2011,18722512
995000,3,1,6,1,1,2011,15189042
9999999,3,1,5,1,3,2011,18938192
600000,2,1,4,1,1,2011,17435836
600000,2,0,5,1,3,2011,55625256
1200000,3,1,6,1,3,2011,51406440
300000,1,0,3,4,1,2011,41076740
300000,2,1,3,1,1,2011,22620252
5162488,4,2,5,1,3,2011,45787064
1000000,2,1,3,3,1,2011,22620252
800000,2,1,3,4,1,2011,22620252
5162488,4,4,1,1,1,2011,46024104
475000,2,1,1,1,1,2011,20209968
240000,5,1,10,3,3,2011,85567512
900000,3,3,1,1,3,2011,77839320
300000,1,0,6,1,1,2011,15189042
9999999,3,1,10,3,3,2011,54412384
800000,1,1,4,1,3,2011,21861640
500000,3,1,8,1,3,2011,18156604
25000,4,2,8,2,3,2011,63262636
1000000,4,2,1,1,3,2011,18722512
600000,2,1,6,1,1,2011,15189042
750000,3,1,2,4,3,2011,71486712
100000,3,0,7,2,1,2011,18399536
850000,2,0,3,1,3,2011,22620252
500000,2,1,1,1,1,2011,80604424
1000000,3,3,6,1,3,2011,34605060
9999999,1,0,4,4,1,2011,17435836
500000,3,1,6,1,1,2011,31542576
500000,3,1,10,2,1,2011,51974140
750000,1,0,6,1,3,2011,28056678
500000,3,1,2,1,1,2011,18736204
1900000,3,2,1,4,3,2011,20209968
600000,2,1,4,4,1,2011,21861640
5162488,4,3,5,1,1,2011,18525008
500000,3,1,7,1,3,2011,99281376
5162488,3,1,6,1,3,2011,15189042
1000000,2,1,4,4,1,2011,21861640
550000,3,0,2,1,3,2011,34580360
500000,2,1,8,2,3,2011,38757456
500000,2,1,8,2,3,2011,77598832
525000,4,2,9,1,3,2011,51369744
5162488,3,5,6,1,1,2011,33105408
500000,4,4,8,1,3,2011,36799072
300000,2,1,7,1,3,2011,56113356
1050000,3,1,1,1,3,2011,20209968
15000,3,1,8,2,3,2011,36799072
500000,2,1,1,1,3,2011,20209968
1200,4,1,7,3,3,2011,142300896
1500000,3,1,5,1,3,2011,20025740
1500000,3,2,6,1,3,2011,35931584
900000,3,1,5,1,3,2011,20025740
1600000,2,1,5,3,3,2011,20025740
1000000,3,0,3,1,1,2011,19340500
650000,2,0,4,1,1,2011,17435836
2000000,3,1,4,1,3,2011,21861640
525000,1,0,3,1,1,2011,22620252
1150000,3,1,6,1,1,2011,34605060
9999999,3,1,3,1,3,2011,48411576
800000,2,1,4,1,1,2011,94667256
950700,1,0,6,4,1,2011,35768888
507000,2,1,4,1,3,2011,21861640
500000,4,1,8,3,3,2011,45640184
500000,2,1,8,2,3,2011,18156604
9999999,2,0,2,3,1,2011,120211344
5162488,4,3,5,1,3,2011,37050020
400000,2,1,5,1,1,2011,18938192
800000,2,1,3,1,1,2011,61020236
1200000,3,1,5,1,1,2011,84717792
2000000,3,1,1,1,3,2011,80049168
18000,2,1,6,1,1,2011,15189042
5162488,5,3,5,1,3,2011,65851592
850000,2,1,6,1,1,2011,34605060
400000,2,1,5,3,3,2011,28056678
750000,4,1,10,1,1,2011,26173832
19000,2,1,10,3,1,2011,42337296
700000,4,1,5,4,3,2011,94902176
507000,3,1,4,1,3,2011,21861640
15000,2,1,3,1,1,2011,41076740
400000,1,0,5,1,3,2011,20025740
750000,2,1,1,1,3,2011,18722512
2400000,4,1,1,1,3,2011,89807888
600000,2,2,6,1,3,2011,34605060
1000000,3,1,4,1,1,2011,34871672
1600000,3,2,3,1,1,2011,18722512
800000,3,1,4,1,3,2011,34871672
750000,2,1,5,4,1,2011,20025740
350000,3,2,10,1,3,2011,44021264
5162488,2,6,4,1,3,2011,37445024
320000,2,1,6,1,1,2011,15189042
9956,2,1,9,4,1,2011,65578224
9999999,3,0,4,3,3,2011,65286052
999000,3,1,5,1,1,2011,65771152
830000,2,1,6,1,3,2011,15189042
800000,2,1,3,1,3,2011,45240504
400000,2,1,10,4,1,2011,44021264
700000,2,1,4,4,3,2011,43723280
275000,2,0,6,1,1,2011,34605060
100000,4,1,7,2,3,2011,51274640
350000,2,1,5,1,3,2011,20025740
350000,1,0,5,1,1,2011,20025740
26000,1,0,1,4,1,2011,16529210
5162488,5,1,5,1,3,2011,37050020
1300000,3,3,1,1,1,2011,49055020
650000,4,2,1,1,3,2011,20209968
1000000,3,1,4,1,1,2011,21861640
920000,1,0,3,1,3,2011,22620252
600000,4,1,4,1,3,2011,34871672
500000,4,1,2,1,3,2011,18736204
140000,2,1,5,1,3,2011,18722512
600000,2,1,4,1,1,2011,21861640
1300000,3,2,6,1,1,2011,57586872
650000,2,2,5,1,3,2011,20025740
450000,2,1,6,1,1,2011,34605060
475000,3,1,1,4,3,2011,104554112
250000,4,1,8,3,3,2011,58063752
550000,2,1,4,1,3,2011,21861640
900000,2,1,5,1,1,2011,37050020
550000,2,1,3,1,1,2011,22620252
1200000,2,0,3,1,1,2011,45240504
380000,2,1,3,4,1,2011,16566963
800000,2,1,1,1,1,2011,20209968
600000,3,1,6,1,1,2011,34605060
700000,4,1,7,3,3,2011,6401219
485000,2,1,6,4,1,2011,15189042
575000,1,1,5,1,1,2011,20025740
350000,2,1,10,1,3,2011,26173832
800000,2,1,1,1,1,2011,20209968
200000,2,1,2,4,1,2011,26173832
9999999,3,1,1,1,3,2011,30012292
1800000,5,1,4,3,1,2011,68839672
1200000,5,2,4,1,1,2011,51489672
550000,2,1,6,1,1,2011,15189042
1600000,3,2,6,1,3,2011,51406440
450000,2,1,4,4,3,2011,21861640
560000,1,0,5,2,1,2011,18722512
1250000,2,1,1,1,1,2011,18825748
1800000,3,1,6,1,1,2011,78492752
350000,3,2,5,1,1,2011,90247952
9999999,3,1,10,3,3,2011,165626336
745000,3,1,1,2,3,2011,44517984
9999999,4,1,4,1,3,2011,71419240
600000,3,1,1,1,3,2011,75462968
1900000,3,1,1,1,1,2011,49055020
700000,2,0,4,1,1,2011,34871672
10000,3,0,2,1,3,2011,73463464
600000,2,1,5,1,3,2011,20025740
5162488,3,3,6,1,3,2011,17302530
580000,2,1,5,1,1,2011,20025740
500000,2,1,2,4,1,2011,38195292
600000,3,1,10,2,3,2011,44021264
890000,3,1,6,1,1,2011,102304248
450000,2,1,2,1,3,2011,44021264
450000,2,1,7,1,1,2011,25204430
9999999,2,1,5,3,1,2011,29265136
1000000,4,1,1,1,3,2011,20209968
3000,3,0,3,3,3,2011,78514392
400000,2,1,7,1,3,2011,22339892
900000,4,2,6,1,3,2011,34605060
700000,3,1,6,1,1,2011,34605060
3000,3,1,3,4,1,2011,20538370
500000,3,1,8,2,3,2011,38371344
1250000,2,1,6,1,3,2011,21201052
2500000,5,2,1,1,3,2011,49055020
900000,2,1,6,1,1,2011,15189042
500000,2,2,5,4,1,2011,20025740
750000,3,2,6,1,3,2011,15189042
1600000,4,0,4,1,1,2011,120494840
240000,4,2,3,1,3,2011,41076740
750000,3,1,6,1,1,2011,29938148
700000,2,1,6,1,1,2011,15189042
300000,2,1,3,1,1,2011,41076740
1000000,3,1,9,1,3,2011,65973824
250000,2,1,6,1,1,2011,18722512
2500000,1,0,1,3,1,2011,20209968
400000,4,1,7,1,3,2011,18722512
550000,2,1,2,3,3,2011,26173832
5162488,4,1,1,1,3,2011,72969552
240000,3,1,3,1,3,2011,22620252
9999999,3,1,6,1,1,2011,64388424
700000,2,1,3,4,1,2011,77565104
393000,3,1,8,2,1,2011,18156604
395000,2,1,2,1,3,2011,26173832
9999999,2,1,1,2,1,2011,31897132
1250000,3,1,5,1,3,2011,20025740
1000000,2,1,5,3,1,2011,22893532
1900000,4,0,3,1,1,2011,41076740
600000,2,1,10,1,3,2011,41506244
600000,3,2,5,1,3,2011,37050020
1500000,2,1,1,1,3,2011,20209968
15000,3,0,8,3,3,2011,17383888
25000,4,1,4,1,1,2011,34871672
5162488,5,3,4,1,3,2011,34871672
5162488,3,1,6,1,3,2011,15189042
2000000,3,1,1,1,3,2011,20209968
500000,3,0,7,3,1,2011,96126584
1900000,4,1,5,1,3,2011,54987240
550000,2,2,2,1,1,2011,18722512
1600000,3,2,3,1,3,2011,41076740
9000,2,1,10,2,1,2011,26173832
1000000,3,1,6,4,3,2011,20115440
3000,1,1,6,3,1,2011,15189042
600000,4,3,5,1,3,2011,35989788
700000,2,1,5,1,3,2011,20025740
1000000,2,1,3,1,3,2011,22620252
400000,2,0,10,1,1,2011,26173832
5162488,3,2,6,1,3,2011,55384448
620000,2,1,4,1,3,2011,34871672
700000,2,1,6,1,1,2011,34605060
9999999,3,1,5,3,1,2011,157042272
410000,1,0,1,1,1,2011,20209968
12000,2,1,3,1,1,2011,41076740
9956,3,1,9,2,3,2011,69009480
135000,2,0,5,1,3,2011,40051480
9999999,2,1,10,3,1,2011,17557088
600000,3,3,6,1,3,2011,15189042
1500000,2,1,6,1,1,2011,18722512
800000,4,2,8,1,3,2011,53196116
750000,3,2,6,1,3,2011,18722512
300000,4,1,7,3,1,2011,625769
5162488,5,3,6,1,3,2011,182453472
625000,2,1,5,1,1,2011,37050020
1100000,3,1,5,4,1,2011,94653920
650000,2,1,3,1,3,2011,22620252
800000,2,1,4,4,3,2011,21861640
675000,3,2,1,1,3,2011,182304160
420000,2,1,5,1,3,2011,20025740
1850000,4,1,5,1,1,2011,67370344
500000,2,0,4,1,1,2011,34871672
300000,2,1,7,3,1,2011,50408860
1800000,4,3,1,1,1,2011,49055020
600000,3,1,6,4,3,2011,104189328
800000,2,1,3,1,3,2011,22620252
500000,3,2,1,1,1,2011,48344604
745000,2,2,1,1,3,2011,40419936
650000,2,1,6,1,1,2011,15189042
350000,2,0,4,1,1,2011,34871672
5162488,4,4,6,1,3,2011,64812304
1000000,2,0,3,1,3,2011,20538370
265000,1,0,5,1,1,2011,20025740
700000,2,1,5,4,3,2011,41585008
5162488,4,3,6,1,1,2011,34605060
1000000,2,0,6,1,3,2011,18722512
380000,1,1,3,2,3,2011,31373892
525000,3,0,8,2,1,2011,18156604
900000,2,1,6,1,3,2011,34605060
45000,4,1,7,1,1,2011,95056392
750000,2,1,4,1,3,2011,34871672
700000,3,1,3,1,1,2011,41076740
5162488,3,2,5,1,1,2011,37050020
9999999,2,1,3,1,3,2011,59929736
450000,2,1,2,1,3,2011,26173832
380000,1,0,3,1,3,2011,41076740
1500000,2,1,6,1,3,2011,15189042
515000,1,0,2,1,3,2011,18050222
400000,2,1,4,4,1,2011,21861640
1000000,2,1,6,1,3,2011,40230880
350000,1,0,5,4,1,2011,20025740
1300000,4,2,6,1,3,2011,15189042
735000,1,1,4,1,3,2011,34871672
500000,2,1,5,4,3,2011,29265136
9999999,4,1,8,2,3,2011,52627624
5162488,3,4,5,1,1,2011,92699184
500000,1,0,7,1,3,2011,36512416
2000000,4,3,6,1,3,2011,34605060
700000,3,2,7,4,1,2011,36799072
5162488,3,0,1,1,3,2011,20209968
800000,2,1,6,1,1,2011,15189042
500000,2,0,4,1,1,2011,34871672
500000,2,1,6,1,3,2011,21201052
1500000,4,1,3,1,1,2011,98972448
500000,2,0,3,1,3,2011,41076740
850000,1,0,6,3,3,2011,15189042
600000,2,1,6,1,1,2011,15189042
12000,3,1,6,2,3,2011,15189042
1700000,4,0,6,1,3,2011,15189042
550000,2,1,4,1,3,2011,21861640
400000,3,2,10,3,1,2011,122148264
9999999,3,2,5,1,1,2011,51401056
700000,3,2,10,1,3,2011,44021264
1900000,3,1,1,1,3,2011,105501256
500000,5,1,5,1,3,2011,90247952
400000,2,1,7,1,3,2011,36799072
500000,3,1,7,3,1,2011,115606128
875000,4,2,5,4,3,2011,37050020
850000,2,1,5,1,3,2011,20025740
200000,1,0,8,2,3,2011,18156604
850000,2,0,1,3,1,2011,20209968
1200000,3,1,3,1,3,2011,20538370
1250000,3,1,5,1,3,2011,37050020
550000,2,1,2,1,1,2011,58983848
525000,1,0,4,1,1,2011,34871672
1000000,3,1,3,1,3,2011,19340500
2000000,2,1,5,2,3,2011,55423304
2200000,4,3,6,1,1,2011,15189042
900000,3,2,5,1,3,2011,74120360
890000,4,1,6,1,3,2011,102304248
1800000,4,1,4,4,3,2011,34871672
1100000,3,1,7,2,3,2011,36619840
1000000,3,0,6,1,3,2011,34605060
1500000,4,1,6,1,1,2011,102304248
450000,4,2,1,1,3,2011,49055020
100000,2,1,7,4,1,2011,18399536
400000,1,0,3,1,1,2011,22620252
1350000,3,0,3,1,1,2011,37153196
400000,4,1,4,4,3,2011,91376064
510000,4,1,8,2,3,2011,18156604
500000,2,1,2,1,3,2011,48627304
450000,3,1,2,1,1,2011,41301364
700000,1,0,5,1,3,2011,38470268
1500000,3,2,3,4,3,2011,104828328
1500000,5,1,7,3,3,2011,2620354
450000,2,0,5,1,1,2011,20025740
650000,2,1,4,1,1,2011,21861640
700000,5,2,5,3,3,2011,90466936
600000,2,1,6,1,1,2011,15189042
750000,2,1,1,4,3,2011,104828328
2000000,4,2,6,1,3,2011,119752000
900000,2,1,4,2,3,2011,21861640
19000,2,0,10,3,1,2011,34580360
1800000,2,1,1,1,1,2011,24527510
550000,2,0,4,1,1,2011,56113356
365000,1,0,6,1,1,2011,15189042
5162488,3,1,5,1,3,2011,37050020
350000,2,1,6,1,1,2011,21201052
400000,2,1,2,4,3,2011,26173832
120000,4,2,8,3,1,2011,118308528
1500000,6,2,7,1,3,2011,100417624
2000000,4,2,6,1,3,2011,72854976
1100000,3,1,7,2,3,2011,36799072
9956,3,1,9,2,3,2011,67868872
9999999,3,0,8,3,3,2011,36626248
550000,2,1,4,1,1,2011,21861640
875000,3,3,6,1,1,2011,38081920
600000,3,1,1,1,3,2011,20209968
9999999,5,3,6,1,1,2011,79296512
525000,3,2,10,1,1,2011,41301364
1200000,3,1,3,4,3,2011,22620252
600000,3,2,6,1,3,2011,34605060
5162488,3,2,1,4,3,2011,49055020
1000000,3,1,6,1,1,2011,93567168
650000,2,1,4,1,1,2011,43723280
5162488,4,3,6,1,3,2011,34605060
1400000,3,1,5,1,1,2011,37050020
625000,1,0,5,1,3,2011,18722512
1500000,3,1,8,1,3,2011,625769
2000000,3,2,7,1,3,2011,36799072
750000,4,1,5,1,1,2011,20025740
5162488,4,0,1,1,3,2011,75131696
630000,2,2,3,1,1,2011,22620252
500000,2,1,4,1,3,2011,34871672
1000000,3,1,6,1,1,2011,34605060
950000,3,2,4,4,1,2011,34871672
550000,3,0,2,1,3,2011,26173832
135000,3,1,5,1,3,2011,37050020
800000,3,1,4,1,3,2011,34871672
800000,3,1,1,1,1,2011,75131696
1800000,5,2,4,1,3,2011,89722816
5162488,4,4,5,4,3,2011,97271296
1500000,4,2,5,1,3,2011,37050020
100000,4,1,7,2,3,2011,16095576
950000,3,1,5,1,1,2011,18722512
765000,3,1,6,1,3,2011,102304248
9956,4,1,9,2,3,2011,46589864
300000,4,1,8,2,1,2011,86922736
5162488,3,2,6,1,3,2011,15189042
500000,2,1,2,2,3,2011,37472408
1000000,4,3,5,1,1,2011,34259768
5162488,5,3,6,1,3,2011,95208368
140000,3,2,5,1,3,2011,40051480
400000,2,0,5,1,1,2011,20025740
500000,3,1,10,1,3,2011,54412384
2000000,3,2,6,1,3,2011,37445024
500000,2,1,6,1,1,2011,24521742
700000,2,0,5,1,1,2011,37050020
5162488,2,1,6,1,3,2011,34605060
5162488,4,4,6,1,3,2011,15189042
500000,1,0,1,1,3,2011,18825748
9999999,2,1,9,1,1,2011,18315528
550000,2,1,6,3,1,2011,15189042
1200000,3,1,1,1,1,2011,49055020
700000,2,2,5,1,1,2011,73280944
2500000,4,4,7,2,3,2011,112346568
500000,6,1,10,3,3,2011,38074444
25000,2,0,9,2,1,2011,36799072
550000,2,1,4,1,1,2011,34871672
685000,3,0,1,1,1,2011,50576096
745000,2,2,1,4,3,2011,37445024
3000,2,0,3,2,1,2011,15686945
70000,4,1,3,1,1,2011,97205992
1000000,3,2,6,1,3,2011,45127188
250000,4,1,10,3,3,2011,109885920
45000,2,1,7,2,3,2011,25204430
800000,2,2,4,1,1,2011,21861640
9000,3,1,10,2,3,2011,39074632
5162488,4,2,4,1,3,2011,21861640
2000000,4,2,6,1,3,2011,84717792
1000000,3,0,3,4,1,2011,25288048
300000,2,0,6,1,1,2011,15189042
1100000,3,1,7,2,3,2011,112346568
1595000,3,2,5,1,1,2011,55038468
9999999,2,0,5,4,1,2011,37050020
800000,2,1,1,1,3,2011,20209968
1000000,4,1,5,1,1,2011,34760844
300000,2,1,6,1,3,2011,15189042
327500,2,0,4,1,1,2011,19079532
1000000,3,2,5,1,3,2011,37050020
970000,2,1,4,1,1,2011,54813856
650000,2,0,1,1,3,2011,49055020
1200000,3,1,6,1,3,2011,15189042
350000,1,1,6,1,1,2011,15189042
5162488,5,3,1,4,3,2011,164314400
600000,3,1,7,2,3,2011,47816344
900000,2,2,6,1,1,2011,15189042
400000,2,0,5,1,3,2011,35536148
1000000,3,1,5,2,3,2011,20025740
400000,1,1,7,4,1,2011,25204430
30000,2,0,10,3,3,2011,26173832
2000000,4,3,6,4,3,2011,159335168
280000,1,0,4,3,1,2011,21861640
1000000,5,1,5,1,3,2011,14632568
700000,2,1,5,1,1,2011,37050020
460000,2,1,6,1,3,2011,15189042
650000,2,1,4,1,3,2011,21861640
168000,2,1,2,4,3,2011,53033536
1700000,3,2,6,1,3,2011,15189042
750000,2,1,6,1,3,2011,21201052
1000000,2,1,3,4,3,2011,22620252
1500000,4,1,6,1,3,2011,102304248
1000000,3,1,5,1,3,2011,20025740
800000,2,1,4,1,3,2011,21861640
610000,3,1,7,1,1,2011,73463464
600000,2,1,10,1,3,2011,26173832
550000,3,1,2,1,3,2011,26173832
452000,2,1,5,1,1,2011,37050020
9999999,1,0,4,4,1,2011,17340440
1000000,3,2,6,1,3,2011,15189042
2000000,5,3,5,1,3,2011,148755536
5162488,4,3,5,1,3,2011,37050020
500000,1,0,4,1,3,2011,21861640
1400000,3,2,4,1,1,2011,34871672
450000,2,0,4,1,1,2011,21861640
1200000,4,1,8,2,3,2011,51702112
25000,2,1,8,2,1,2011,17599688
300000,1,1,6,1,1,2011,15189042
1250000,4,2,6,1,3,2011,85141832
400000,2,1,2,1,3,2011,55344916
800000,2,1,3,1,3,2011,41076740
5162488,5,3,5,1,3,2011,65771152
950000,3,0,4,1,1,2011,56685976
400000,3,1,5,2,1,2011,44854112
2500000,5,3,6,1,3,2011,75445224
600000,3,1,7,2,1,2011,36799072
15000,3,1,8,2,3,2011,36924292
525000,4,2,9,1,3,2011,50868952
650000,2,1,6,1,3,2011,15189042
2000000,3,0,4,4,1,2011,34871672
600000,2,1,6,1,3,2011,17302530
5162488,4,3,5,1,3,2011,41585008
1000000,2,1,6,1,3,2011,15189042
550000,2,2,7,1,1,2011,25204430
5162488,4,2,1,1,1,2011,20209968
275000,3,1,7,3,1,2011,45400072
1400000,3,2,5,1,3,2011,37050020
500000,3,1,3,1,3,2011,99687296
60000,3,1,7,2,3,2011,118654696
1200000,2,1,3,1,3,2011,41076740
400000,3,1,8,2,1,2011,18156604
600000,2,2,4,1,1,2011,21861640
450000,1,1,1,3,3,2011,37651496
700000,3,1,7,2,3,2011,25204430
1350000,3,1,6,1,3,2011,34605060
800000,3,1,6,1,1,2011,55384448
1000000,2,1,6,1,3,2011,16552704
1600000,3,1,3,1,3,2011,22620252
1500000,5,3,7,2,3,2011,5079570
1500000,3,1,7,2,3,2011,500619
1000000,1,0,8,2,1,2011,17599688
700000,3,1,4,1,1,2011,21861640
9999999,3,1,10,3,1,2011,54504768
1500000,4,2,6,4,3,2011,159335168
395000,3,1,2,2,3,2011,32163754
9999999,3,1,10,3,1,2011,17557088
3000,3,1,6,1,3,2011,29508780
1200000,2,1,6,1,3,2011,15189042
400000,2,1,6,1,1,2011,49043484
400000,2,1,2,4,3,2011,44021264
400000,3,1,10,3,3,2011,61077912
700000,2,1,6,1,1,2011,34605060
25000,3,1,8,3,3,2011,18156604
1000000,2,2,6,1,3,2011,18722512
1300000,5,2,8,2,3,2011,134596432
600000,2,1,2,1,1,2011,26173832
5162488,4,1,5,3,1,2011,113189992
2000000,5,2,5,1,3,2011,41585008
450000,3,1,5,1,1,2011,37050020
2000000,2,0,1,1,1,2011,99687296
9999999,1,0,4,1,3,2011,33921104
200000,2,0,8,2,1,2011,17599688
1400000,4,1,2,2,3,2011,100740624
1900000,5,2,6,1,1,2011,15189042
1500000,3,1,1,1,1,2011,28056678
240000,3,1,10,1,3,2011,32187880
2000000,4,2,6,1,1,2011,34605060
725000,2,1,6,1,3,2011,34605060
550000,1,0,5,4,1,2011,37050020
440000,3,2,5,1,3,2011,37434588
1000000,1,1,6,1,3,2011,21201052
235000,1,0,6,3,3,2011,54140344
1600000,3,2,1,1,1,2011,75131696
1600000,4,3,6,1,3,2011,104436008
625000,3,2,5,1,3,2011,20025740
600000,2,1,6,1,3,2011,15189042
1500000,1,0,3,1,3,2011,22620252
450000,2,1,1,1,1,2011,20209968
175000,2,1,3,1,1,2011,22620252
250000,3,1,4,1,3,2011,34871672
900000,3,1,4,1,1,2011,74082344
1000000,4,0,3,1,3,2011,98257600
450000,2,1,4,4,1,2011,21861640
525000,3,2,9,1,3,2011,51369744
200000,3,1,8,1,3,2011,78109968
200000,3,1,7,3,1,2011,36730032
380000,1,1,3,3,3,2011,16566963
1750000,2,1,1,1,3,2011,49055020
1600000,4,2,5,1,1,2011,37050020
5162488,3,3,1,1,3,2011,50935460
525000,2,1,4,3,1,2011,21861640
200000,2,1,4,1,1,2011,34871672
450000,2,1,2,1,1,2011,26173832
900000,2,1,6,1,3,2011,15189042
600000,2,1,6,1,1,2011,15189042
