value,bdrms,subboroughname,race,year,income_tile,non_bdrms
200000,3,Lower East Side/Chinatown,White,2002,2,1
10000,3,Morningside Heights/Hamilton Heights,Black,2002,4,2
200000,3,Lower East Side/Chinatown,White,2002,5,1
200000,3,Central Harlem,Black,2002,2,2
800000,4,Upper West Side,White,2002,5,2
1957402,3,Upper West Side,White,2002,5,1
200000,2,Chelsea/Clinton/Midtown,White,2002,3,1
527000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
200000,3,Greenwich Village/Financial District,White,2002,3,1
650000,2,Upper West Side,White,2002,5,1
1957402,4,Upper East Side,Hispanic,2002,5,4
500000,2,Upper East Side,White,2002,5,0
600,4,Central Harlem,Black,2002,1,1
252000,2,Greenwich Village/Financial District,White,2002,3,1
1957402,4,Chelsea/Clinton/Midtown,White,2002,5,1
450000,2,Chelsea/Clinton/Midtown,White,2002,5,1
300000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
750000,2,Greenwich Village/Financial District,White,2002,2,2
260000,2,Upper West Side,White,2002,4,1
125000,1,Upper East Side,Others,2002,3,1
350000,2,Stuyvesant Town/Turtle Bay,White,2002,2,0
500000,2,Chelsea/Clinton/Midtown,White,2002,2,1
180000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
400000,3,Upper East Side,White,2002,4,1
275000,2,Upper East Side,White,2002,3,1
425000,2,Upper East Side,White,2002,5,1
200000,1,Stuyvesant Town/Turtle Bay,White,2002,3,1
90000,2,Upper West Side,White,2002,1,0
300000,2,Upper East Side,White,2002,3,1
935000,3,Chelsea/Clinton/Midtown,White,2002,5,1
450000,2,Chelsea/Clinton/Midtown,White,2002,4,1
350000,2,Upper West Side,White,2002,3,1
125000,1,Stuyvesant Town/Turtle Bay,White,2002,2,0
100000,3,Stuyvesant Town/Turtle Bay,White,2002,3,2
160000,3,Upper West Side,White,2002,2,1
150000,2,Washington Heights/Inwood,White,2002,2,1
675000,3,Upper East Side,White,2002,3,1
200000,3,Central Harlem,Black,2002,3,1
550000,3,Upper West Side,Others,2002,4,2
325000,3,Lower East Side/Chinatown,Black,2002,4,1
500000,2,Upper West Side,White,2002,5,1
1957402,3,Chelsea/Clinton/Midtown,White,2002,5,1
8000,3,Stuyvesant Town/Turtle Bay,White,2002,3,1
1957402,4,Stuyvesant Town/Turtle Bay,White,2002,5,4
160000,1,Upper West Side,White,2002,3,0
1957402,3,Upper East Side,White,2002,5,2
200000,2,Upper West Side,Hispanic,2002,3,0
500000,2,Upper East Side,White,2002,1,1
280000,2,Chelsea/Clinton/Midtown,White,2002,5,2
85000,2,Central Harlem,Black,2002,2,1
33900,1,Greenwich Village/Financial District,White,2002,5,0
325000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1
1957402,3,Lower East Side/Chinatown,White,2002,5,1
900000,3,Upper East Side,White,2002,3,4
500000,3,Upper East Side,White,2002,3,1
10000,1,Morningside Heights/Hamilton Heights,White,2002,1,0
30000,3,East Harlem,Hispanic,2002,1,1
329000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
300000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
10000,4,Stuyvesant Town/Turtle Bay,White,2002,4,1
500000,2,Greenwich Village/Financial District,White,2002,5,1
250000,2,Upper East Side,White,2002,4,1
300000,2,Upper West Side,Others,2002,2,1
600000,3,Upper West Side,White,2002,2,1
610000,2,Upper East Side,Others,2002,5,2
375000,2,Upper East Side,White,2002,4,1
350000,2,Chelsea/Clinton/Midtown,Others,2002,5,0
10000,4,Central Harlem,Black,2002,3,1
550000,3,Upper West Side,White,2002,5,1
350000,2,Stuyvesant Town/Turtle Bay,White,2002,4,0
13900,1,Chelsea/Clinton/Midtown,White,2002,1,0
200000,1,Upper East Side,White,2002,3,0
300000,2,Upper East Side,Others,2002,2,1
350000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
225000,2,Greenwich Village/Financial District,White,2002,4,0
10000,2,Morningside Heights/Hamilton Heights,Black,2002,3,1
1957402,4,Greenwich Village/Financial District,White,2002,5,2
200000,1,Stuyvesant Town/Turtle Bay,White,2002,3,0
325000,2,Upper East Side,Others,2002,5,1
300000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
1957402,5,Greenwich Village/Financial District,White,2002,5,1
350000,1,Stuyvesant Town/Turtle Bay,White,2002,5,0
1957402,3,Upper East Side,White,2002,5,4
17500,2,Washington Heights/Inwood,White,2002,1,2
350000,3,Upper East Side,White,2002,5,1
1957402,5,Stuyvesant Town/Turtle Bay,White,2002,5,2
250000,2,Chelsea/Clinton/Midtown,Others,2002,3,1
400000,2,Upper West Side,White,2002,4,1
1957402,3,Upper West Side,White,2002,4,3
1957402,3,Upper West Side,White,2002,2,3
1957402,3,Greenwich Village/Financial District,White,2002,5,1
1957402,2,Upper East Side,White,2002,5,3
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,3
300000,3,Upper East Side,White,2002,5,1
600000,4,Upper West Side,White,2002,5,2
200000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,1
150000,2,Chelsea/Clinton/Midtown,White,2002,1,1
500000,3,Stuyvesant Town/Turtle Bay,White,2002,2,1
1957402,2,Stuyvesant Town/Turtle Bay,White,2002,3,0
250000,2,Upper East Side,White,2002,3,1
1957402,4,Chelsea/Clinton/Midtown,White,2002,3,1
1957402,3,Upper East Side,White,2002,5,3
600,4,Central Harlem,Black,2002,2,1
700000,2,Upper East Side,White,2002,3,0
670000,2,Upper West Side,White,2002,3,0
300000,3,Upper East Side,White,2002,4,1
20000,3,East Harlem,Black,2002,4,1
600000,4,Upper West Side,White,2002,3,2
100000,2,Central Harlem,Black,2002,2,2
1957402,3,Chelsea/Clinton/Midtown,White,2002,5,0
350000,2,Chelsea/Clinton/Midtown,White,2002,4,1
1957402,4,Upper East Side,White,2002,5,1
200000,3,Stuyvesant Town/Turtle Bay,White,2002,5,1
300000,2,Upper West Side,White,2002,2,1
150000,2,Washington Heights/Inwood,White,2002,2,1
450000,2,Upper West Side,White,2002,5,1
875000,3,Central Harlem,Black,2002,1,2
750000,3,Upper West Side,White,2002,3,2
450000,2,Upper West Side,White,2002,4,1
160000,1,Greenwich Village/Financial District,White,2002,3,0
1957402,2,Chelsea/Clinton/Midtown,White,2002,1,1
500000,3,Chelsea/Clinton/Midtown,White,2002,3,1
250000,1,Stuyvesant Town/Turtle Bay,White,2002,4,0
1957402,3,Chelsea/Clinton/Midtown,Others,2002,3,3
350000,3,Greenwich Village/Financial District,White,2002,4,1
200000,4,Chelsea/Clinton/Midtown,White,2002,5,1
135000,3,Central Harlem,Black,2002,2,1
260000,1,Upper West Side,White,2002,4,0
6650,4,East Harlem,Black,2002,2,1
1957402,2,Stuyvesant Town/Turtle Bay,White,2002,2,1
20000,3,Lower East Side/Chinatown,Hispanic,2002,4,1
370000,3,Upper East Side,White,2002,5,1
1957402,3,Upper East Side,White,2002,5,4
1957402,2,Upper East Side,White,2002,2,1
350000,2,Greenwich Village/Financial District,White,2002,5,1
200000,2,Upper West Side,White,2002,5,0
320000,2,Greenwich Village/Financial District,Others,2002,3,1
30000,2,Stuyvesant Town/Turtle Bay,White,2002,2,1
1957402,3,Greenwich Village/Financial District,White,2002,3,1
250000,1,Greenwich Village/Financial District,White,2002,4,0
500000,2,Chelsea/Clinton/Midtown,White,2002,5,1
250000,2,Chelsea/Clinton/Midtown,Others,2002,5,0
210000,2,Chelsea/Clinton/Midtown,Others,2002,1,0
650000,4,Upper East Side,White,2002,4,2
325000,2,Greenwich Village/Financial District,White,2002,4,1
500000,2,Upper West Side,White,2002,2,1
350000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1
1957402,2,Upper East Side,White,2002,1,2
11000,3,Greenwich Village/Financial District,White,2002,4,1
160000,2,Greenwich Village/Financial District,White,2002,3,1
250000,2,Greenwich Village/Financial District,White,2002,2,1
375000,4,Upper East Side,White,2002,5,2
400000,3,Stuyvesant Town/Turtle Bay,White,2002,3,1
350000,2,Chelsea/Clinton/Midtown,White,2002,4,0
500000,2,Stuyvesant Town/Turtle Bay,White,2002,4,3
250000,2,East Harlem,White,2002,4,1
6650,5,East Harlem,Black,2002,2,1
1957402,3,Upper East Side,White,2002,5,1
200000,2,Chelsea/Clinton/Midtown,White,2002,4,1
500000,2,Upper East Side,White,2002,5,1
33900,1,Greenwich Village/Financial District,White,2002,3,0
650000,3,Upper East Side,White,2002,5,3
850000,3,Greenwich Village/Financial District,White,2002,5,3
1957402,4,Greenwich Village/Financial District,White,2002,5,2
375000,3,Upper East Side,White,2002,3,1
1957402,3,Upper West Side,White,2002,5,3
500000,2,Chelsea/Clinton/Midtown,White,2002,3,1
6650,3,East Harlem,Black,2002,2,2
85000,2,Washington Heights/Inwood,Others,2002,4,0
3500,3,Lower East Side/Chinatown,White,2002,1,1
935000,3,Chelsea/Clinton/Midtown,White,2002,5,1
1957402,4,Upper East Side,White,2002,3,4
1957402,5,Upper East Side,White,2002,5,2
220000,1,Lower East Side/Chinatown,White,2002,3,0
4000,3,East Harlem,Black,2002,1,2
500000,2,Upper East Side,White,2002,1,1
1957402,4,Upper West Side,White,2002,5,3
1957402,3,Upper East Side,White,2002,4,1
190000,1,Greenwich Village/Financial District,White,2002,2,0
425000,2,Upper West Side,White,2002,4,1
700000,3,Upper West Side,White,2002,4,2
375000,2,Greenwich Village/Financial District,White,2002,5,1
500000,2,Upper East Side,White,2002,3,1
100000,2,Upper West Side,White,2002,4,1
200000,2,Lower East Side/Chinatown,White,2002,4,1
300000,3,Morningside Heights/Hamilton Heights,White,2002,3,1
400000,2,Upper East Side,Others,2002,4,1
300000,4,Stuyvesant Town/Turtle Bay,White,2002,5,4
800000,3,Upper West Side,Others,2002,3,3
750,3,Stuyvesant Town/Turtle Bay,Others,2002,5,2
275000,2,Upper East Side,White,2002,3,0
500000,3,Stuyvesant Town/Turtle Bay,White,2002,5,1
275000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
900000,3,Upper East Side,White,2002,1,2
4000,3,East Harlem,Hispanic,2002,2,1
6650,2,East Harlem,Black,2002,2,1
100000,2,Washington Heights/Inwood,White,2002,1,0
540000,2,Upper East Side,White,2002,3,1
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,2
1957402,2,Greenwich Village/Financial District,White,2002,4,1
1957402,2,Upper West Side,White,2002,3,3
120000,4,Morningside Heights/Hamilton Heights,Others,2002,5,1
85000,3,Central Harlem,Black,2002,1,2
1957402,5,Upper East Side,White,2002,5,3
30000,3,Lower East Side/Chinatown,White,2002,3,1
750000,2,Upper East Side,White,2002,3,1
300000,3,Lower East Side/Chinatown,White,2002,2,1
500000,3,Stuyvesant Town/Turtle Bay,White,2002,5,1
150000,4,Chelsea/Clinton/Midtown,White,2002,3,2
1957402,3,Upper West Side,White,2002,5,3
450000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
2000,2,East Harlem,Hispanic,2002,1,1
140000,3,Washington Heights/Inwood,Hispanic,2002,1,0
350000,2,Upper East Side,White,2002,5,1
100000,2,Stuyvesant Town/Turtle Bay,White,2002,3,0
1957402,4,Upper East Side,White,2002,5,4
500000,2,Upper East Side,White,2002,3,1
325000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1
115000,1,Upper East Side,White,2002,3,0
920000,2,Upper East Side,Others,2002,1,2
800000,3,Upper East Side,White,2002,5,2
1957402,3,Upper East Side,White,2002,1,3
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,0
200000,2,Central Harlem,Black,2002,2,0
165000,1,Central Harlem,Hispanic,2002,1,0
150000,1,Chelsea/Clinton/Midtown,White,2002,1,0
250000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
1957402,5,Upper West Side,White,2002,5,3
100000,3,Upper West Side,White,2002,3,1
18000,4,Washington Heights/Inwood,Black,2002,2,1
20000,2,Lower East Side/Chinatown,Hispanic,2002,3,1
85000,1,Upper East Side,Hispanic,2002,2,0
250000,2,Chelsea/Clinton/Midtown,White,2002,4,1
13900,4,Morningside Heights/Hamilton Heights,White,2002,2,1
300000,3,Lower East Side/Chinatown,White,2002,3,1
300000,2,Upper East Side,White,2002,3,2
800000,2,Upper West Side,White,2002,5,1
200000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
8000,1,Lower East Side/Chinatown,Hispanic,2002,2,1
425000,2,Stuyvesant Town/Turtle Bay,White,2002,5,2
1957402,2,Upper East Side,White,2002,2,0
500000,3,Upper East Side,White,2002,5,2
50000,3,Lower East Side/Chinatown,Hispanic,2002,5,1
85000,3,Morningside Heights/Hamilton Heights,Black,2002,5,2
160000,1,Upper West Side,Others,2002,3,0
800000,3,Upper West Side,White,2002,5,1
1957402,3,Upper East Side,White,2002,4,2
275000,2,Greenwich Village/Financial District,White,2002,5,0
10000,2,Upper East Side,White,2002,5,1
1957402,3,Greenwich Village/Financial District,White,2002,4,4
210000,2,Chelsea/Clinton/Midtown,White,2002,4,1
1957402,3,Upper West Side,White,2002,5,3
320000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
200000,1,Upper East Side,White,2002,4,0
135000,4,Central Harlem,Black,2002,2,2
500000,3,Upper West Side,White,2002,5,2
400000,2,Stuyvesant Town/Turtle Bay,White,2002,4,0
700000,3,Upper West Side,White,2002,5,1
275000,2,Upper West Side,White,2002,4,1
300000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
175000,2,Chelsea/Clinton/Midtown,White,2002,5,1
300000,2,Upper West Side,White,2002,4,0
1957402,3,Upper East Side,White,2002,4,4
170000,2,Greenwich Village/Financial District,White,2002,3,1
300000,1,Upper West Side,White,2002,5,0
500000,3,Upper East Side,White,2002,5,1
1957402,4,Upper West Side,White,2002,5,1
500000,2,Upper West Side,White,2002,4,1
1957402,3,Stuyvesant Town/Turtle Bay,Black,2002,2,3
243000,2,Upper East Side,White,2002,4,1
150000,3,Central Harlem,Black,2002,4,1
1957402,2,Upper East Side,White,2002,5,5
240000,3,Morningside Heights/Hamilton Heights,White,2002,4,1
700000,3,Upper West Side,White,2002,5,1
300000,2,Upper East Side,White,2002,5,1
350000,2,Stuyvesant Town/Turtle Bay,White,2002,5,0
200000,1,Greenwich Village/Financial District,White,2002,1,0
215000,2,East Harlem,White,2002,1,1
670000,2,Upper West Side,White,2002,5,1
750000,3,Upper West Side,White,2002,5,1
250000,1,Upper East Side,White,2002,4,0
1957402,4,Upper West Side,White,2002,5,2
1957402,4,Upper East Side,White,2002,5,3
600000,3,Upper East Side,White,2002,3,0
700000,3,Upper East Side,White,2002,5,1
650000,3,Upper West Side,White,2002,5,1
1957402,4,Upper East Side,White,2002,5,2
250000,3,Washington Heights/Inwood,Black,2002,4,1
94000,3,Morningside Heights/Hamilton Heights,Others,2002,3,1
300000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
1957402,3,Greenwich Village/Financial District,White,2002,5,2
380000,2,Upper East Side,White,2002,4,1
35000,2,Stuyvesant Town/Turtle Bay,White,2002,4,1
600000,2,Upper East Side,White,2002,4,1
1957402,4,Greenwich Village/Financial District,White,2002,5,4
200000,2,East Harlem,White,2002,4,1
200000,1,Stuyvesant Town/Turtle Bay,White,2002,2,0
15000,3,Washington Heights/Inwood,White,2002,3,1
85000,4,Central Harlem,Hispanic,2002,2,1
525000,3,Upper West Side,White,2002,5,1
200000,2,Upper West Side,White,2002,4,1
500000,2,Upper East Side,White,2002,4,2
20000,1,Central Harlem,Hispanic,2002,1,0
12500,2,East Harlem,Black,2002,2,1
1957402,5,Upper East Side,White,2002,5,3
100000,2,Lower East Side/Chinatown,White,2002,1,1
1957402,4,Stuyvesant Town/Turtle Bay,White,2002,5,4
270000,3,Morningside Heights/Hamilton Heights,White,2002,4,1
280000,2,Greenwich Village/Financial District,White,2002,2,0
375000,2,Stuyvesant Town/Turtle Bay,Hispanic,2002,2,1
25000,3,Chelsea/Clinton/Midtown,Hispanic,2002,3,1
150000,2,Washington Heights/Inwood,Hispanic,2002,1,1
100000,3,East Harlem,Black,2002,2,1
780000,3,Upper East Side,White,2002,4,2
750000,3,Upper East Side,White,2002,5,0
1957402,2,Greenwich Village/Financial District,White,2002,4,3
650000,3,Upper West Side,White,2002,5,2
225000,2,Greenwich Village/Financial District,White,2002,5,1
400000,2,Upper East Side,White,2002,2,1
1957402,3,Upper East Side,White,2002,5,4
500000,4,Upper West Side,White,2002,4,2
50000,1,Chelsea/Clinton/Midtown,White,2002,3,0
3000,2,Chelsea/Clinton/Midtown,White,2002,1,1
350000,2,Upper West Side,Hispanic,2002,4,0
1957402,5,Upper West Side,White,2002,5,3
380000,3,Stuyvesant Town/Turtle Bay,White,2002,3,1
1957402,3,Greenwich Village/Financial District,White,2002,5,2
30000,4,Washington Heights/Inwood,Hispanic,2002,3,1
280000,2,Chelsea/Clinton/Midtown,White,2002,5,1
190000,2,Chelsea/Clinton/Midtown,Hispanic,2002,3,1
150000,1,Upper East Side,Others,2002,4,0
750000,3,Greenwich Village/Financial District,White,2002,4,2
99000,1,Upper East Side,White,2002,2,0
650000,3,Upper West Side,White,2002,5,1
1957402,3,Upper East Side,White,2002,5,2
500000,3,Stuyvesant Town/Turtle Bay,White,2002,5,2
250000,2,East Harlem,White,2002,3,1
1957402,3,Upper East Side,White,2002,5,2
200000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
85000,3,Central Harlem,Black,2002,4,3
250000,2,Lower East Side/Chinatown,White,2002,5,1
300000,2,Stuyvesant Town/Turtle Bay,White,2002,5,1
160000,2,Upper West Side,White,2002,2,1
500000,3,Upper West Side,White,2002,3,2
1957402,3,Greenwich Village/Financial District,White,2002,5,2
250000,1,Greenwich Village/Financial District,White,2002,4,0
600000,2,Upper West Side,White,2002,5,1
500000,2,Upper East Side,White,2002,4,1
1957402,6,Upper East Side,White,2002,5,2
1957402,4,Upper East Side,White,2002,5,2
300000,2,Stuyvesant Town/Turtle Bay,White,2002,3,1
400000,2,Upper East Side,White,2002,3,1
400000,3,Upper East Side,White,2002,5,1
1957402,4,Upper East Side,White,2002,4,4
1957402,3,Upper West Side,White,2002,5,1
540000,3,Upper East Side,White,2002,2,1
500000,3,Upper East Side,White,2002,4,1
75000,3,Lower East Side/Chinatown,Hispanic,2002,3,1
575000,2,Stuyvesant Town/Turtle Bay,White,2002,2,1
13500,3,Morningside Heights/Hamilton Heights,Hispanic,2002,1,1
400000,2,Chelsea/Clinton/Midtown,White,2002,3,1
50000,3,Central Harlem,Black,2002,1,2
200000,1,Greenwich Village/Financial District,White,2002,4,0
350000,3,Stuyvesant Town/Turtle Bay,White,2002,4,1
275000,2,Lower East Side/Chinatown,White,2002,1,1
1957402,3,Upper East Side,White,2002,3,2
400000,3,Stuyvesant Town/Turtle Bay,White,2002,5,1
800000,3,Upper East Side,White,2002,5,3
350000,2,Greenwich Village/Financial District,White,2002,3,0
350000,2,Upper East Side,White,2002,1,1
200000,1,Stuyvesant Town/Turtle Bay,White,2002,4,0
150000,2,Washington Heights/Inwood,White,2002,5,1
200000,1,Greenwich Village/Financial District,White,2002,3,1
1957402,3,Stuyvesant Town/Turtle Bay,White,2002,5,3
520000,2,Upper East Side,White,2002,5,0
350000,3,Upper East Side,White,2002,5,1
140000,2,Washington Heights/Inwood,White,2002,5,0
100000,1,Lower East Side/Chinatown,White,2002,1,0
700000,2,Lower East Side/Chinatown,White,2002,1,2
1957402,4,Upper East Side,White,2002,5,2
440000,2,Upper East Side,White,2002,5,0
500000,1,Greenwich Village/Financial District,White,2002,4,0
350000,1,Stuyvesant Town/Turtle Bay,White,2002,4,0
150000,1,Upper East Side,White,2002,2,1
200000,2,Lower East Side/Chinatown,White,2002,2,1
500000,3,Upper East Side,White,2002,4,3
1957402,2,Greenwich Village/Financial District,White,2002,5,1
5000,3,East Harlem,Black,2002,1,1
650000,2,Greenwich Village/Financial District,White,2002,4,1
400000,2,Upper East Side,White,2002,4,2
30000,3,Stuyvesant Town/Turtle Bay,White,2002,4,1
300000,3,Stuyvesant Town/Turtle Bay,White,2002,5,1
300000,1,Greenwich Village/Financial District,White,2002,3,0
40000,3,Chelsea/Clinton/Midtown,White,2002,1,1
1957402,4,Upper West Side,White,2002,5,2
1957402,4,Upper West Side,White,2002,5,2
300000,3,Central Harlem,Black,2002,4,1
500000,2,Upper East Side,Hispanic,2002,2,1
300000,2,Upper East Side,White,2002,5,0
300000,1,Stuyvesant Town/Turtle Bay,White,2002,1,0
300000,3,Lower East Side/Chinatown,Hispanic,2002,3,1
265000,2,Chelsea/Clinton/Midtown,White,2002,4,1
450000,2,Upper East Side,White,2002,3,1
6650,2,East Harlem,Hispanic,2002,2,1
500000,3,Stuyvesant Town/Turtle Bay,White,2002,4,2
350000,2,Stuyvesant Town/Turtle Bay,Others,2002,4,1
430000,3,Stuyvesant Town/Turtle Bay,White,2002,5,1
