value,bdrms,non_bdrms,subboroughcode,race,income_tile,year
250000,4,1,8,2,3,2011
1500000,4,3,5,1,3,2011
320000,1,0,1,1,1,2011
400000,1,0,5,1,3,2011
995000,3,1,6,1,1,2011
9999999,3,1,5,1,3,2011
600000,2,1,4,1,1,2011
600000,2,0,5,1,3,2011
1200000,3,1,6,1,3,2011
300000,1,0,3,4,1,2011
300000,2,1,3,1,1,2011
5162488,4,2,5,1,3,2011
1000000,2,1,3,3,1,2011
800000,2,1,3,4,1,2011
5162488,4,4,1,1,1,2011
475000,2,1,1,1,1,2011
240000,5,1,10,3,3,2011
900000,3,3,1,1,3,2011
300000,1,0,6,1,1,2011
9999999,3,1,10,3,3,2011
800000,1,1,4,1,3,2011
500000,3,1,8,1,3,2011
25000,4,2,8,2,3,2011
1000000,4,2,1,1,3,2011
600000,2,1,6,1,1,2011
750000,3,1,2,4,3,2011
100000,3,0,7,2,1,2011
850000,2,0,3,1,3,2011
500000,2,1,1,1,1,2011
1000000,3,3,6,1,3,2011
9999999,1,0,4,4,1,2011
500000,3,1,6,1,1,2011
500000,3,1,10,2,1,2011
750000,1,0,6,1,3,2011
500000,3,1,2,1,1,2011
1900000,3,2,1,4,3,2011
600000,2,1,4,4,1,2011
5162488,4,3,5,1,1,2011
500000,3,1,7,1,3,2011
5162488,3,1,6,1,3,2011
1000000,2,1,4,4,1,2011
550000,3,0,2,1,3,2011
500000,2,1,8,2,3,2011
500000,2,1,8,2,3,2011
525000,4,2,9,1,3,2011
5162488,3,5,6,1,1,2011
500000,4,4,8,1,3,2011
300000,2,1,7,1,3,2011
1050000,3,1,1,1,3,2011
15000,3,1,8,2,3,2011
500000,2,1,1,1,3,2011
1200,4,1,7,3,3,2011
1500000,3,1,5,1,3,2011
1500000,3,2,6,1,3,2011
900000,3,1,5,1,3,2011
1600000,2,1,5,3,3,2011
1000000,3,0,3,1,1,2011
650000,2,0,4,1,1,2011
2000000,3,1,4,1,3,2011
525000,1,0,3,1,1,2011
1150000,3,1,6,1,1,2011
9999999,3,1,3,1,3,2011
800000,2,1,4,1,1,2011
950700,1,0,6,4,1,2011
507000,2,1,4,1,3,2011
500000,4,1,8,3,3,2011
500000,2,1,8,2,3,2011
9999999,2,0,2,3,1,2011
5162488,4,3,5,1,3,2011
400000,2,1,5,1,1,2011
800000,2,1,3,1,1,2011
1200000,3,1,5,1,1,2011
2000000,3,1,1,1,3,2011
18000,2,1,6,1,1,2011
5162488,5,3,5,1,3,2011
850000,2,1,6,1,1,2011
400000,2,1,5,3,3,2011
750000,4,1,10,1,1,2011
19000,2,1,10,3,1,2011
700000,4,1,5,4,3,2011
507000,3,1,4,1,3,2011
15000,2,1,3,1,1,2011
400000,1,0,5,1,3,2011
750000,2,1,1,1,3,2011
2400000,4,1,1,1,3,2011
600000,2,2,6,1,3,2011
1000000,3,1,4,1,1,2011
1600000,3,2,3,1,1,2011
800000,3,1,4,1,3,2011
750000,2,1,5,4,1,2011
350000,3,2,10,1,3,2011
5162488,2,6,4,1,3,2011
320000,2,1,6,1,1,2011
9956,2,1,9,4,1,2011
9999999,3,0,4,3,3,2011
999000,3,1,5,1,1,2011
830000,2,1,6,1,3,2011
800000,2,1,3,1,3,2011
400000,2,1,10,4,1,2011
700000,2,1,4,4,3,2011
275000,2,0,6,1,1,2011
100000,4,1,7,2,3,2011
350000,2,1,5,1,3,2011
350000,1,0,5,1,1,2011
26000,1,0,1,4,1,2011
5162488,5,1,5,1,3,2011
1300000,3,3,1,1,1,2011
650000,4,2,1,1,3,2011
1000000,3,1,4,1,1,2011
920000,1,0,3,1,3,2011
600000,4,1,4,1,3,2011
500000,4,1,2,1,3,2011
140000,2,1,5,1,3,2011
600000,2,1,4,1,1,2011
1300000,3,2,6,1,1,2011
650000,2,2,5,1,3,2011
450000,2,1,6,1,1,2011
475000,3,1,1,4,3,2011
250000,4,1,8,3,3,2011
550000,2,1,4,1,3,2011
900000,2,1,5,1,1,2011
550000,2,1,3,1,1,2011
1200000,2,0,3,1,1,2011
380000,2,1,3,4,1,2011
800000,2,1,1,1,1,2011
600000,3,1,6,1,1,2011
700000,4,1,7,3,3,2011
485000,2,1,6,4,1,2011
575000,1,1,5,1,1,2011
350000,2,1,10,1,3,2011
800000,2,1,1,1,1,2011
200000,2,1,2,4,1,2011
9999999,3,1,1,1,3,2011
1800000,5,1,4,3,1,2011
1200000,5,2,4,1,1,2011
550000,2,1,6,1,1,2011
1600000,3,2,6,1,3,2011
450000,2,1,4,4,3,2011
560000,1,0,5,2,1,2011
1250000,2,1,1,1,1,2011
1800000,3,1,6,1,1,2011
350000,3,2,5,1,1,2011
9999999,3,1,10,3,3,2011
745000,3,1,1,2,3,2011
9999999,4,1,4,1,3,2011
600000,3,1,1,1,3,2011
1900000,3,1,1,1,1,2011
700000,2,0,4,1,1,2011
10000,3,0,2,1,3,2011
600000,2,1,5,1,3,2011
5162488,3,3,6,1,3,2011
580000,2,1,5,1,1,2011
500000,2,1,2,4,1,2011
600000,3,1,10,2,3,2011
890000,3,1,6,1,1,2011
450000,2,1,2,1,3,2011
450000,2,1,7,1,1,2011
9999999,2,1,5,3,1,2011
1000000,4,1,1,1,3,2011
3000,3,0,3,3,3,2011
400000,2,1,7,1,3,2011
900000,4,2,6,1,3,2011
700000,3,1,6,1,1,2011
3000,3,1,3,4,1,2011
500000,3,1,8,2,3,2011
1250000,2,1,6,1,3,2011
2500000,5,2,1,1,3,2011
900000,2,1,6,1,1,2011
500000,2,2,5,4,1,2011
750000,3,2,6,1,3,2011
1600000,4,0,4,1,1,2011
240000,4,2,3,1,3,2011
750000,3,1,6,1,1,2011
700000,2,1,6,1,1,2011
300000,2,1,3,1,1,2011
1000000,3,1,9,1,3,2011
250000,2,1,6,1,1,2011
2500000,1,0,1,3,1,2011
400000,4,1,7,1,3,2011
550000,2,1,2,3,3,2011
5162488,4,1,1,1,3,2011
240000,3,1,3,1,3,2011
9999999,3,1,6,1,1,2011
700000,2,1,3,4,1,2011
393000,3,1,8,2,1,2011
395000,2,1,2,1,3,2011
9999999,2,1,1,2,1,2011
1250000,3,1,5,1,3,2011
1000000,2,1,5,3,1,2011
1900000,4,0,3,1,1,2011
600000,2,1,10,1,3,2011
600000,3,2,5,1,3,2011
1500000,2,1,1,1,3,2011
15000,3,0,8,3,3,2011
25000,4,1,4,1,1,2011
5162488,5,3,4,1,3,2011
5162488,3,1,6,1,3,2011
2000000,3,1,1,1,3,2011
500000,3,0,7,3,1,2011
1900000,4,1,5,1,3,2011
550000,2,2,2,1,1,2011
1600000,3,2,3,1,3,2011
9000,2,1,10,2,1,2011
1000000,3,1,6,4,3,2011
3000,1,1,6,3,1,2011
600000,4,3,5,1,3,2011
700000,2,1,5,1,3,2011
1000000,2,1,3,1,3,2011
400000,2,0,10,1,1,2011
5162488,3,2,6,1,3,2011
620000,2,1,4,1,3,2011
700000,2,1,6,1,1,2011
9999999,3,1,5,3,1,2011
410000,1,0,1,1,1,2011
12000,2,1,3,1,1,2011
9956,3,1,9,2,3,2011
135000,2,0,5,1,3,2011
9999999,2,1,10,3,1,2011
600000,3,3,6,1,3,2011
1500000,2,1,6,1,1,2011
800000,4,2,8,1,3,2011
750000,3,2,6,1,3,2011
300000,4,1,7,3,1,2011
5162488,5,3,6,1,3,2011
625000,2,1,5,1,1,2011
1100000,3,1,5,4,1,2011
650000,2,1,3,1,3,2011
800000,2,1,4,4,3,2011
675000,3,2,1,1,3,2011
420000,2,1,5,1,3,2011
1850000,4,1,5,1,1,2011
500000,2,0,4,1,1,2011
300000,2,1,7,3,1,2011
1800000,4,3,1,1,1,2011
600000,3,1,6,4,3,2011
800000,2,1,3,1,3,2011
500000,3,2,1,1,1,2011
745000,2,2,1,1,3,2011
650000,2,1,6,1,1,2011
350000,2,0,4,1,1,2011
5162488,4,4,6,1,3,2011
1000000,2,0,3,1,3,2011
265000,1,0,5,1,1,2011
700000,2,1,5,4,3,2011
5162488,4,3,6,1,1,2011
1000000,2,0,6,1,3,2011
380000,1,1,3,2,3,2011
525000,3,0,8,2,1,2011
900000,2,1,6,1,3,2011
45000,4,1,7,1,1,2011
750000,2,1,4,1,3,2011
700000,3,1,3,1,1,2011
5162488,3,2,5,1,1,2011
9999999,2,1,3,1,3,2011
450000,2,1,2,1,3,2011
380000,1,0,3,1,3,2011
1500000,2,1,6,1,3,2011
515000,1,0,2,1,3,2011
400000,2,1,4,4,1,2011
1000000,2,1,6,1,3,2011
350000,1,0,5,4,1,2011
1300000,4,2,6,1,3,2011
735000,1,1,4,1,3,2011
500000,2,1,5,4,3,2011
9999999,4,1,8,2,3,2011
5162488,3,4,5,1,1,2011
500000,1,0,7,1,3,2011
2000000,4,3,6,1,3,2011
700000,3,2,7,4,1,2011
5162488,3,0,1,1,3,2011
800000,2,1,6,1,1,2011
500000,2,0,4,1,1,2011
500000,2,1,6,1,3,2011
1500000,4,1,3,1,1,2011
500000,2,0,3,1,3,2011
850000,1,0,6,3,3,2011
600000,2,1,6,1,1,2011
12000,3,1,6,2,3,2011
1700000,4,0,6,1,3,2011
550000,2,1,4,1,3,2011
400000,3,2,10,3,1,2011
9999999,3,2,5,1,1,2011
700000,3,2,10,1,3,2011
1900000,3,1,1,1,3,2011
500000,5,1,5,1,3,2011
400000,2,1,7,1,3,2011
500000,3,1,7,3,1,2011
875000,4,2,5,4,3,2011
850000,2,1,5,1,3,2011
200000,1,0,8,2,3,2011
850000,2,0,1,3,1,2011
1200000,3,1,3,1,3,2011
1250000,3,1,5,1,3,2011
550000,2,1,2,1,1,2011
525000,1,0,4,1,1,2011
1000000,3,1,3,1,3,2011
2000000,2,1,5,2,3,2011
2200000,4,3,6,1,1,2011
900000,3,2,5,1,3,2011
890000,4,1,6,1,3,2011
1800000,4,1,4,4,3,2011
1100000,3,1,7,2,3,2011
1000000,3,0,6,1,3,2011
1500000,4,1,6,1,1,2011
450000,4,2,1,1,3,2011
100000,2,1,7,4,1,2011
400000,1,0,3,1,1,2011
1350000,3,0,3,1,1,2011
400000,4,1,4,4,3,2011
510000,4,1,8,2,3,2011
500000,2,1,2,1,3,2011
450000,3,1,2,1,1,2011
700000,1,0,5,1,3,2011
1500000,3,2,3,4,3,2011
1500000,5,1,7,3,3,2011
450000,2,0,5,1,1,2011
650000,2,1,4,1,1,2011
700000,5,2,5,3,3,2011
600000,2,1,6,1,1,2011
750000,2,1,1,4,3,2011
2000000,4,2,6,1,3,2011
900000,2,1,4,2,3,2011
19000,2,0,10,3,1,2011
1800000,2,1,1,1,1,2011
550000,2,0,4,1,1,2011
365000,1,0,6,1,1,2011
5162488,3,1,5,1,3,2011
350000,2,1,6,1,1,2011
400000,2,1,2,4,3,2011
120000,4,2,8,3,1,2011
1500000,6,2,7,1,3,2011
2000000,4,2,6,1,3,2011
1100000,3,1,7,2,3,2011
9956,3,1,9,2,3,2011
9999999,3,0,8,3,3,2011
550000,2,1,4,1,1,2011
875000,3,3,6,1,1,2011
600000,3,1,1,1,3,2011
9999999,5,3,6,1,1,2011
525000,3,2,10,1,1,2011
1200000,3,1,3,4,3,2011
600000,3,2,6,1,3,2011
5162488,3,2,1,4,3,2011
1000000,3,1,6,1,1,2011
650000,2,1,4,1,1,2011
5162488,4,3,6,1,3,2011
1400000,3,1,5,1,1,2011
625000,1,0,5,1,3,2011
1500000,3,1,8,1,3,2011
2000000,3,2,7,1,3,2011
750000,4,1,5,1,1,2011
5162488,4,0,1,1,3,2011
630000,2,2,3,1,1,2011
500000,2,1,4,1,3,2011
1000000,3,1,6,1,1,2011
950000,3,2,4,4,1,2011
550000,3,0,2,1,3,2011
135000,3,1,5,1,3,2011
800000,3,1,4,1,3,2011
800000,3,1,1,1,1,2011
1800000,5,2,4,1,3,2011
5162488,4,4,5,4,3,2011
1500000,4,2,5,1,3,2011
100000,4,1,7,2,3,2011
950000,3,1,5,1,1,2011
765000,3,1,6,1,3,2011
9956,4,1,9,2,3,2011
300000,4,1,8,2,1,2011
5162488,3,2,6,1,3,2011
500000,2,1,2,2,3,2011
1000000,4,3,5,1,1,2011
5162488,5,3,6,1,3,2011
140000,3,2,5,1,3,2011
400000,2,0,5,1,1,2011
500000,3,1,10,1,3,2011
2000000,3,2,6,1,3,2011
500000,2,1,6,1,1,2011
700000,2,0,5,1,1,2011
5162488,2,1,6,1,3,2011
5162488,4,4,6,1,3,2011
500000,1,0,1,1,3,2011
9999999,2,1,9,1,1,2011
550000,2,1,6,3,1,2011
1200000,3,1,1,1,1,2011
700000,2,2,5,1,1,2011
2500000,4,4,7,2,3,2011
500000,6,1,10,3,3,2011
25000,2,0,9,2,1,2011
550000,2,1,4,1,1,2011
685000,3,0,1,1,1,2011
745000,2,2,1,4,3,2011
3000,2,0,3,2,1,2011
70000,4,1,3,1,1,2011
1000000,3,2,6,1,3,2011
250000,4,1,10,3,3,2011
45000,2,1,7,2,3,2011
800000,2,2,4,1,1,2011
9000,3,1,10,2,3,2011
5162488,4,2,4,1,3,2011
2000000,4,2,6,1,3,2011
1000000,3,0,3,4,1,2011
300000,2,0,6,1,1,2011
1100000,3,1,7,2,3,2011
1595000,3,2,5,1,1,2011
9999999,2,0,5,4,1,2011
800000,2,1,1,1,3,2011
1000000,4,1,5,1,1,2011
300000,2,1,6,1,3,2011
327500,2,0,4,1,1,2011
1000000,3,2,5,1,3,2011
970000,2,1,4,1,1,2011
650000,2,0,1,1,3,2011
1200000,3,1,6,1,3,2011
350000,1,1,6,1,1,2011
5162488,5,3,1,4,3,2011
600000,3,1,7,2,3,2011
900000,2,2,6,1,1,2011
400000,2,0,5,1,3,2011
1000000,3,1,5,2,3,2011
400000,1,1,7,4,1,2011
30000,2,0,10,3,3,2011
2000000,4,3,6,4,3,2011
280000,1,0,4,3,1,2011
1000000,5,1,5,1,3,2011
700000,2,1,5,1,1,2011
460000,2,1,6,1,3,2011
650000,2,1,4,1,3,2011
168000,2,1,2,4,3,2011
1700000,3,2,6,1,3,2011
750000,2,1,6,1,3,2011
1000000,2,1,3,4,3,2011
1500000,4,1,6,1,3,2011
1000000,3,1,5,1,3,2011
800000,2,1,4,1,3,2011
610000,3,1,7,1,1,2011
600000,2,1,10,1,3,2011
550000,3,1,2,1,3,2011
452000,2,1,5,1,1,2011
9999999,1,0,4,4,1,2011
1000000,3,2,6,1,3,2011
2000000,5,3,5,1,3,2011
5162488,4,3,5,1,3,2011
500000,1,0,4,1,3,2011
1400000,3,2,4,1,1,2011
450000,2,0,4,1,1,2011
1200000,4,1,8,2,3,2011
25000,2,1,8,2,1,2011
300000,1,1,6,1,1,2011
1250000,4,2,6,1,3,2011
400000,2,1,2,1,3,2011
800000,2,1,3,1,3,2011
5162488,5,3,5,1,3,2011
950000,3,0,4,1,1,2011
400000,3,1,5,2,1,2011
2500000,5,3,6,1,3,2011
600000,3,1,7,2,1,2011
15000,3,1,8,2,3,2011
525000,4,2,9,1,3,2011
650000,2,1,6,1,3,2011
2000000,3,0,4,4,1,2011
600000,2,1,6,1,3,2011
5162488,4,3,5,1,3,2011
1000000,2,1,6,1,3,2011
550000,2,2,7,1,1,2011
5162488,4,2,1,1,1,2011
275000,3,1,7,3,1,2011
1400000,3,2,5,1,3,2011
500000,3,1,3,1,3,2011
60000,3,1,7,2,3,2011
1200000,2,1,3,1,3,2011
400000,3,1,8,2,1,2011
600000,2,2,4,1,1,2011
450000,1,1,1,3,3,2011
700000,3,1,7,2,3,2011
1350000,3,1,6,1,3,2011
800000,3,1,6,1,1,2011
1000000,2,1,6,1,3,2011
1600000,3,1,3,1,3,2011
1500000,5,3,7,2,3,2011
1500000,3,1,7,2,3,2011
1000000,1,0,8,2,1,2011
700000,3,1,4,1,1,2011
9999999,3,1,10,3,1,2011
1500000,4,2,6,4,3,2011
395000,3,1,2,2,3,2011
9999999,3,1,10,3,1,2011
3000,3,1,6,1,3,2011
1200000,2,1,6,1,3,2011
400000,2,1,6,1,1,2011
400000,2,1,2,4,3,2011
400000,3,1,10,3,3,2011
700000,2,1,6,1,1,2011
25000,3,1,8,3,3,2011
1000000,2,2,6,1,3,2011
1300000,5,2,8,2,3,2011
600000,2,1,2,1,1,2011
5162488,4,1,5,3,1,2011
2000000,5,2,5,1,3,2011
450000,3,1,5,1,1,2011
2000000,2,0,1,1,1,2011
9999999,1,0,4,1,3,2011
200000,2,0,8,2,1,2011
1400000,4,1,2,2,3,2011
1900000,5,2,6,1,1,2011
1500000,3,1,1,1,1,2011
240000,3,1,10,1,3,2011
2000000,4,2,6,1,1,2011
725000,2,1,6,1,3,2011
550000,1,0,5,4,1,2011
440000,3,2,5,1,3,2011
1000000,1,1,6,1,3,2011
235000,1,0,6,3,3,2011
1600000,3,2,1,1,1,2011
1600000,4,3,6,1,3,2011
625000,3,2,5,1,3,2011
600000,2,1,6,1,3,2011
1500000,1,0,3,1,3,2011
450000,2,1,1,1,1,2011
175000,2,1,3,1,1,2011
250000,3,1,4,1,3,2011
900000,3,1,4,1,1,2011
1000000,4,0,3,1,3,2011
450000,2,1,4,4,1,2011
525000,3,2,9,1,3,2011
200000,3,1,8,1,3,2011
200000,3,1,7,3,1,2011
380000,1,1,3,3,3,2011
1750000,2,1,1,1,3,2011
1600000,4,2,5,1,1,2011
5162488,3,3,1,1,3,2011
525000,2,1,4,3,1,2011
200000,2,1,4,1,1,2011
450000,2,1,2,1,1,2011
900000,2,1,6,1,3,2011
600000,2,1,6,1,1,2011
2000000,2,1,4,1,3,2011
600000,4,1,5,1,1,2011
900000,2,1,9,1,1,2011
1000000,3,2,4,1,1,2011
1800000,2,1,1,1,3,2011
1400000,5,3,5,1,3,2011
750000,3,1,5,1,1,2011
1000000,3,0,1,1,1,2011
350000,2,1,5,1,3,2011
600000,4,1,8,2,3,2011
1375000,3,1,5,1,1,2011
1800000,3,1,3,1,3,2011
500000,3,2,8,2,3,2011
9999999,4,2,6,1,1,2011
750000,3,1,1,1,1,2011
1250000,3,0,1,1,3,2011
1200000,4,1,6,1,1,2011
500000,2,1,4,1,1,2011
500000,2,0,3,1,1,2011
1000000,4,4,4,1,3,2011
2000000,4,2,6,1,1,2011
950000,3,2,5,1,3,2011
1600000,4,2,5,4,3,2011
1500000,3,2,1,1,3,2011
1250000,3,1,5,1,1,2011
800000,4,1,8,2,3,2011
700000,4,3,7,1,1,2011
5162488,5,3,5,1,3,2011
1500000,5,3,7,2,1,2011
2100000,4,2,5,1,1,2011
9956,3,1,9,3,1,2011
1000000,4,2,1,1,3,2011
750000,2,2,6,1,3,2011
1700000,3,1,4,1,1,2011
700000,3,3,5,1,3,2011
250000,3,1,10,3,1,2011
30000,2,0,2,1,1,2011
400000,3,2,5,1,3,2011
1000000,2,1,6,1,1,2011
5162488,6,2,6,1,3,2011
875000,2,1,5,1,1,2011
1600000,2,1,5,1,3,2011
500000,2,1,5,1,3,2011
650000,2,1,4,1,3,2011
900000,3,1,6,1,1,2011
2000000,3,0,1,1,3,2011
400000,1,1,4,1,1,2011
13000,1,1,3,1,3,2011
600000,2,1,5,1,3,2011
500000,3,1,6,1,1,2011
490000,2,0,3,1,1,2011
15000,3,2,8,2,1,2011
9956,2,1,9,1,1,2011
390000,2,1,6,1,1,2011
2000000,4,2,5,1,3,2011
2000000,3,1,5,1,3,2011
1200000,3,1,6,4,1,2011
1650000,3,1,3,1,3,2011
950000,2,2,5,1,1,2011
630000,2,1,6,1,3,2011
9999999,3,1,10,3,1,2011
1500000,1,0,1,1,1,2011
5162488,2,2,6,1,3,2011
275000,1,0,6,1,1,2011
5162488,6,2,5,1,3,2011
2000000,3,3,6,1,3,2011
5162488,4,3,5,1,3,2011
5162488,3,1,4,1,3,2011
1000000,3,1,6,1,1,2011
475000,3,0,1,1,3,2011
2500000,3,1,5,1,1,2011
1700000,5,1,6,4,1,2011
500000,2,1,3,1,1,2011
40000,5,2,4,1,1,2011
700000,2,1,6,1,3,2011
1000000,3,1,2,1,1,2011
1600000,3,2,3,1,3,2011
13000,2,1,3,1,3,2011
420000,2,1,5,4,1,2011
350000,1,1,6,1,1,2011
650000,2,1,4,4,3,2011
1500000,3,1,5,1,3,2011
700000,2,1,6,1,1,2011
425000,1,0,4,1,1,2011
800000,3,0,4,1,3,2011
69000,2,1,1,1,3,2011
1000000,2,1,5,1,3,2011
250000,1,1,4,1,3,2011
2500000,4,0,2,3,3,2011
950000,4,2,7,1,1,2011
25000,2,1,9,2,3,2011
1300000,2,1,1,1,1,2011
9999999,4,1,10,3,3,2011
750000,3,2,7,1,3,2011
800000,2,1,1,1,1,2011
750000,2,1,6,1,3,2011
550000,1,0,4,1,3,2011
1000000,2,1,3,1,1,2011
450000,2,1,1,1,1,2011
450000,2,1,6,3,1,2011
600000,3,0,5,1,3,2011
9999999,3,1,8,2,1,2011
1000000,3,1,6,1,3,2011
440000,1,0,5,1,1,2011
650000,2,1,4,1,1,2011
275000,4,2,6,1,3,2011
700000,2,1,4,1,1,2011
5162488,3,2,6,1,3,2011
1600000,3,1,3,1,1,2011
1000000,3,2,6,1,1,2011
700000,2,1,6,1,1,2011
1850000,3,2,6,1,3,2011
300000,2,0,6,1,3,2011
700000,4,1,8,1,1,2011
800000,3,1,4,1,3,2011
650000,3,1,1,4,3,2011
1000000,3,2,6,1,3,2011
76000,3,1,7,2,3,2011
1000000,3,2,4,1,3,2011
9999999,4,1,8,4,1,2011
9956,2,1,9,3,1,2011
750000,1,0,6,3,3,2011
9999999,3,1,10,3,1,2011
1040000,3,1,6,1,1,2011
440000,3,1,5,1,3,2011
750000,2,1,6,1,3,2011
300000,2,2,7,1,1,2011
1000000,2,1,2,4,3,2011
350000,2,0,4,3,3,2011
1500000,3,2,4,1,1,2011
800000,2,0,3,3,1,2011
800000,3,1,4,1,1,2011
1100000,3,1,6,1,3,2011
9956,3,1,9,4,3,2011
5162488,3,0,5,1,3,2011
9956,3,1,9,4,3,2011
765000,2,0,4,1,1,2011
700000,2,1,3,3,3,2011
860000,3,0,4,4,3,2011
615000,1,0,4,3,3,2011
750000,3,2,6,1,1,2011
5162488,3,1,5,1,1,2011
19000,4,1,10,3,3,2011
1000000,2,1,1,1,3,2011
300000,2,1,6,1,1,2011
2500000,5,3,6,1,1,2011
500000,1,0,1,4,3,2011
1500000,2,2,4,1,3,2011
5162488,6,2,6,1,3,2011
1000000,3,1,3,1,3,2011
36000,2,0,3,3,1,2011
450000,2,1,3,1,1,2011
300000,2,1,3,1,3,2011
1000000,4,1,2,4,1,2011
450000,2,1,5,4,1,2011
1250000,3,1,1,1,3,2011
500000,2,1,5,1,1,2011
1000000,2,1,5,1,1,2011
500000,2,1,6,1,3,2011
2000000,1,0,1,3,1,2011
25000,2,1,9,2,3,2011
650000,2,0,5,1,1,2011
1000000,2,0,6,1,3,2011
5162488,4,2,5,1,1,2011
407000,2,1,5,1,1,2011
950000,3,2,4,1,1,2011
600000,2,1,6,1,3,2011
